"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1454,0.00972222222222219,0
394913,"New York-Newark-Jersey City, NY","Msa",1,2425,0.0227752003374104,-0.0129059117402165
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2788,0.0134496546710288,0.0128865979381443
394463,"Chicago-Naperville-Elgin, IL","Msa",3,1624,-0.00733496332518335,-0.0138637733574443
394514,"Dallas-Fort Worth-Arlington, TX","Msa",4,1609,0.00941028858218318,-0.00312695434646659
394974,"Philadelphia-Camden-Wilmington, PA","Msa",5,1567,0.000638569604086925,-0.0138539042821159
394692,"Houston-The Woodlands-Sugar Land, TX","Msa",6,1542,-0.00387596899224807,0.00324044069993512
395209,"Washington-Arlington-Alexandria, VA","Msa",7,2131,-0.000937646507266798,-0.00605778191985085
394856,"Miami-Fort Lauderdale-West Palm Beach, FL","Msa",8,1880,0.0129310344827587,0.00270124257158288
394347,"Atlanta-Sandy Springs-Roswell, GA","Msa",9,1417,0.0164992826398853,0.0152949745083759
394404,"Boston-Cambridge-Newton, MA","Msa",10,2410,0.018596787827557,-0.0125208681135225
395057,"San Francisco-Oakland-Hayward, CA","Msa",11,3382,-0.00500147102088855,-0.0017621145374449
394532,"Detroit-Warren-Dearborn, MI","Msa",12,1206,0.0100502512562815,0.0127226463104326
395025,"Riverside-San Bernardino-Ontario, CA","Msa",13,1953,0.028436018957346,0.0371381758601856
394976,"Phoenix-Mesa-Scottsdale, AZ","Msa",14,1370,0.00809418690213382,0.00890868596881966
395078,"Seattle-Tacoma-Bellevue, WA","Msa",15,2201,0.0138185168125289,-0.011384335154827
394865,"Minneapolis-St. Paul-Bloomington, MN","Msa",16,1673,0.0213675213675213,0.0104873534855028
395056,"San Diego-Carlsbad, CA","Msa",17,2576,0.0137741046831956,0.00315831030398739
395121,"St. Louis, MO","Msa",18,1137,-0.00175592625109744,-0.00870322019147085
395148,"Tampa-St. Petersburg-Clearwater, FL","Msa",19,1409,0.0136690647482014,0.0168251645940014
394358,"Baltimore-Columbia-Towson, MD","Msa",20,1758,0.0103448275862068,-0.00114810562571754
394530,"Denver-Aurora-Lakewood, CO","Msa",21,2129,0.0365141187925999,0.00391006842619745
394982,"Pittsburgh, PA","Msa",22,1078,-0.00553505535055354,-0.0109489051094891
394998,"Portland-Vancouver-Hillsboro, OR","Msa",23,1855,0.0114503816793894,-0.0176754151044456
394458,"Charlotte-Concord-Gastonia, NC","Msa",24,1327,0.0262954369682908,0.00388198757763969
395045,"Sacramento--Roseville--Arden-Arcade, CA","Msa",25,1886,0.0238870792616721,0.0307778399552323
395055,"San Antonio-New Braunfels, TX","Msa",26,1324,-0.00525920360631105,-0.00819672131147542
394943,"Orlando-Kissimmee-Sanford, FL","Msa",27,1487,0.0262249827467218,0.0139958012596222
394466,"Cincinnati, OH","Msa",28,1328,0.0399373531714957,-0.00078247261345854
394475,"Cleveland-Elyria, OH","Msa",29,1135,-0.00438596491228072,-0.00696864111498263
394735,"Kansas City, MO","Msa",30,1288,0.018987341772152,-0.0132708821233412
394775,"Las Vegas-Henderson-Paradise, NV","Msa",31,1327,0.0160796324655437,0.0227094753328112
394492,"Columbus, OH","Msa",32,1367,0.0232035928143712,0.00830188679245292
394705,"Indianapolis-Carmel-Anderson, IN","Msa",33,1186,-0.00753138075313808,-0.00582362728785357
395059,"San Jose-Sunnyvale-Santa Clara, CA","Msa",34,3475,-0.00685910260074307,-0.00398519783660689
394355,"Austin-Round Rock, TX","Msa",35,1677,-0.00297265160523186,-0.0169491525423728
395194,"Virginia Beach-Norfolk-Newport News, VA","Msa",36,1409,-0.000709219858155974,0.00498930862437641
394902,"Nashville-Davidson--Murfreesboro--Franklin, TN","Msa",37,1485,-0.00402414486921532,-0.00600000000000001
395005,"Providence-Warwick, RI","Msa",38,1673,0.00299760191846521,0.0233128834355829
394862,"Milwaukee-Waukesha-West Allis, WI","Msa",39,1306,-0.00684410646387834,-0.0215773809523809
394714,"Jacksonville, FL","Msa",40,1362,0.0164179104477611,0.0166919575113809
394849,"Memphis, TN","Msa",41,1103,0.00822669104204743,0.0399239543726235
394935,"Oklahoma City, OK","Msa",42,1083,-0.00733272227314385,-0.0117753623188406
394807,"Louisville-Jefferson County, KY","Msa",43,1188,-0.000841042893187538,0
394669,"Hartford-West Hartford-East Hartford, CT","Msa",44,1530,-0.0211132437619962,-0.0243445692883895
395022,"Richmond, VA","Msa",45,1415,0.01725377426312,0.0227941176470587
394910,"New Orleans-Metairie, LA","Msa",46,1351,-0.0095307917888563,-0.0236220472440944
394425,"Buffalo-Cheektowaga-Niagara Falls, NY","Msa",47,1197,-0.00166805671392822,-0.00745033112582782
395012,"Raleigh, NC","Msa",48,1472,0.023643949930459,0
394388,"Birmingham-Hoover, AL","Msa",49,1046,-0.000955109837631363,-0.0159774436090225
395053,"Salt Lake City, UT","Msa",50,1633,0.0309343434343434,0.0160359204618346
